SP	SP
끕	gg eu P
끖	gg eu P
끗	gg eu T
끘	gg eu T
끙	gg eu NG
끚	gg eu T
끛	gg eu T
끜	gg eu K
끝	gg eu T
끞	gg eu P
끟	gg eu T
끠	gg ui
끡	gg ui K
끢	gg ui K
끣	gg ui K
끤	gg ui N
끥	gg ui N
끦	gg ui N
끧	gg ui T
끨	gg ui L
끩	gg ui L
끪	gg ui L
끫	gg ui L
끬	gg ui L
끭	gg ui L
끮	gg ui L
끯	gg ui L
끰	gg ui M
끱	gg ui P
끲	gg ui P
끳	gg ui T
끴	gg ui T
끵	gg ui NG
끶	gg ui T
끷	gg ui T
끸	gg ui K
끹	gg ui T
끺	gg ui P
끻	gg ui T
끼	gg i
끽	gg i K
끾	gg i K
끿	gg i K
낀	gg i N
낁	gg i N
낂	gg i N
낃	gg i T
낄	gg i L
낅	gg i L
낆	gg i L
낇	gg i L
낈	gg i L
낉	gg i L
낊	gg i L
낋	gg i L
낌	gg i M
낍	gg i P
낎	gg i P
낏	gg i T
낐	gg i T
낑	gg i NG
낒	gg i T
낓	gg i T
낔	gg i K
낕	gg i T
낖	gg i P
낗	gg i T
나	n a
낙	n a K
낚	n a K
낛	n a K
난	n a N
낝	n a N
낞	n a N
낟	n a T
날	n a L
낡	n a L
낢	n a L
낣	n a L
낤	n a L
낥	n a L
낦	n a L
낧	n a L
남	n a M
납	n a P
낪	n a P
낫	n a T
났	n a T
낭	n a NG
낮	n a T
낯	n a T
낰	n a K
낱	n a T
낲	n a P
낳	n a T
내	n ae
낵	n ae K
낶	n ae K
낷	n ae K
낸	n ae N
낹	n ae N
낺	n ae N
낻	n ae T
낼	n ae L
낽	n ae L
낾	n ae L
낿	n ae L
냀	n ae L
냁	n ae L
냂	n ae L
냃	n ae L
냄	n ae M
냅	n ae P
냆	n ae P
냇	n ae T
냈	n ae T
냉	n ae NG
냊	n ae T
냋	n ae T
냌	n ae K
냍	n ae T
냎	n ae P
냏	n ae T
냐	n ya
냑	n ya K
냒	n ya K
냓	n ya K
냔	n ya N
냕	n ya N
냖	n ya N
냗	n ya T
냘	n ya L
냙	n ya L
냚	n ya L
냛	n ya L
냜	n ya L
냝	n ya L
냞	n ya L
냟	n ya L
냠	n ya M
냡	n ya P
냢	n ya P
냣	n ya T
냤	n ya T
냥	n ya NG
냦	n ya T
냧	n ya T
냨	n ya K
냩	n ya T
냪	n ya P
냫	n ya T
냬	n yae
냭	n yae K
냮	n yae K
냯	n yae K
냰	n yae N
냱	n yae N
냲	n yae N
냳	n yae T
냴	n yae L
냵	n yae L
냶	n yae L
냷	n yae L
냸	n yae L
냹	n yae L
냺	n yae L
냻	n yae L
냼	n yae M
냽	n yae P
냾	n yae P
냿	n yae T
넀	n yae T
넁	n yae NG
넂	n yae T
넃	n yae T
넄	n yae K
넅	n yae T
넆	n yae P
넇	n yae T
너	n eo
넉	n eo K
넊	n eo K
넋	n eo K
넌	n eo N
